,DATE,RPIX
230,1976 JAN,23.7
231,1976 FEB,23.2
232,1976 MAR,21.4
233,1976 APR,19.1
234,1976 MAY,15.6
235,1976 JUN,14.0
236,1976 JUL,13.0
237,1976 AUG,14.0
238,1976 SEP,14.5
239,1976 OCT,14.9
240,1976 NOV,15.1
241,1976 DEC,14.8
242,1977 JAN,16.4
243,1977 FEB,15.9
244,1977 MAR,16.6
245,1977 APR,17.3
246,1977 MAY,17.0
247,1977 JUN,17.7
248,1977 JUL,17.7
249,1977 AUG,16.6
250,1977 SEP,15.7
251,1977 OCT,14.3
252,1977 NOV,13.3
253,1977 DEC,12.8
254,1978 JAN,10.5
255,1978 FEB,10.3
256,1978 MAR,9.9
257,1978 APR,8.7
258,1978 MAY,8.3
259,1978 JUN,7.9
260,1978 JUL,8.1
261,1978 AUG,8.0
262,1978 SEP,7.9
263,1978 OCT,7.7
264,1978 NOV,7.9
265,1978 DEC,8.0
266,1979 JAN,8.7
267,1979 FEB,8.7
268,1979 MAR,8.8
269,1979 APR,9.1
270,1979 MAY,9.3
271,1979 JUN,10.2
272,1979 JUL,14.7
273,1979 AUG,15.1
274,1979 SEP,15.7
275,1979 OCT,16.4
276,1979 NOV,16.7
277,1979 DEC,16.8
278,1980 JAN,17.3
279,1980 FEB,17.8
280,1980 MAR,18.6
281,1980 APR,20.7
282,1980 MAY,20.8
283,1980 JUN,20.1
284,1980 JUL,15.9
285,1980 AUG,15.2
286,1980 SEP,14.8
287,1980 OCT,14.3
288,1980 NOV,14.2
289,1980 DEC,14.0
290,1981 JAN,13.0
291,1981 FEB,12.6
292,1981 MAR,12.8
293,1981 APR,12.4
294,1981 MAY,12.2
295,1981 JUN,11.8
296,1981 JUL,11.4
297,1981 AUG,12.0
298,1981 SEP,11.9
299,1981 OCT,12.2
300,1981 NOV,12.1
301,1981 DEC,11.9
302,1982 JAN,11.7
303,1982 FEB,10.6
304,1982 MAR,9.9
305,1982 APR,9.1
306,1982 MAY,9.1
307,1982 JUN,8.8
308,1982 JUL,8.4
309,1982 AUG,7.6
310,1982 SEP,7.3
311,1982 OCT,6.9
312,1982 NOV,6.7
313,1982 DEC,6.6
314,1983 JAN,6.2
315,1983 FEB,6.7
316,1983 MAR,5.9
317,1983 APR,4.9
318,1983 MAY,4.5
319,1983 JUN,4.5
320,1983 JUL,4.7
321,1983 AUG,5.1
322,1983 SEP,5.2
323,1983 OCT,5.0
324,1983 NOV,4.8
325,1983 DEC,4.8
326,1984 JAN,4.5
327,1984 FEB,4.5
328,1984 MAR,4.6
329,1984 APR,4.9
330,1984 MAY,4.9
331,1984 JUN,4.9
332,1984 JUL,4.5
333,1984 AUG,4.3
334,1984 SEP,3.9
335,1984 OCT,4.2
336,1984 NOV,4.1
337,1984 DEC,4.1
338,1985 JAN,4.6
339,1985 FEB,4.6
340,1985 MAR,5.2
341,1985 APR,5.3
342,1985 MAY,5.3
343,1985 JUN,5.3
344,1985 JUL,5.2
345,1985 AUG,5.3
346,1985 SEP,5.6
347,1985 OCT,5.2
348,1985 NOV,5.3
349,1985 DEC,5.1
350,1986 JAN,4.9
351,1986 FEB,4.8
352,1986 MAR,4.0
353,1986 APR,3.4
354,1986 MAY,3.2
355,1986 JUN,3.3
356,1986 JUL,3.2
357,1986 AUG,3.3
358,1986 SEP,3.4
359,1986 OCT,3.3
360,1986 NOV,3.3
361,1986 DEC,3.4
362,1987 JAN,3.6
363,1987 FEB,3.7
364,1987 MAR,3.8
365,1987 APR,3.6
366,1987 MAY,3.8
367,1987 JUN,3.5
368,1987 JUL,3.7
369,1987 AUG,3.7
370,1987 SEP,3.5
371,1987 OCT,3.9
372,1987 NOV,4.0
373,1987 DEC,3.9
374,1988 JAN,3.7
375,1988 FEB,3.6
376,1988 MAR,3.8
377,1988 APR,4.2
378,1988 MAY,4.4
379,1988 JUN,4.7
380,1988 JUL,5.0
381,1988 AUG,5.0
382,1988 SEP,5.2
383,1988 OCT,5.1
384,1988 NOV,5.1
385,1988 DEC,5.1
386,1989 JAN,5.5
387,1989 FEB,5.7
388,1989 MAR,5.7
389,1989 APR,5.9
390,1989 MAY,6.0
391,1989 JUN,5.9
392,1989 JUL,5.8
393,1989 AUG,5.7
394,1989 SEP,5.8
395,1989 OCT,6.1
396,1989 NOV,6.1
397,1989 DEC,6.1
398,1990 JAN,6.1
399,1990 FEB,6.2
400,1990 MAR,6.3
401,1990 APR,7.9
402,1990 MAY,8.1
403,1990 JUN,8.2
404,1990 JUL,8.3
405,1990 AUG,9.1
406,1990 SEP,9.5
407,1990 OCT,9.5
408,1990 NOV,9.2
409,1990 DEC,9.0
410,1991 JAN,8.5
411,1991 FEB,8.6
412,1991 MAR,8.4
413,1991 APR,6.8
414,1991 MAY,6.6
415,1991 JUN,6.9
416,1991 JUL,6.8
417,1991 AUG,6.2
418,1991 SEP,5.7
419,1991 OCT,5.5
420,1991 NOV,5.7
421,1991 DEC,5.8
422,1992 JAN,5.6
423,1992 FEB,5.6
424,1992 MAR,5.7
425,1992 APR,5.7
426,1992 MAY,5.3
427,1992 JUN,4.8
428,1992 JUL,4.4
429,1992 AUG,4.2
430,1992 SEP,4.0
431,1992 OCT,3.8
432,1992 NOV,3.6
433,1992 DEC,3.7
434,1993 JAN,3.2
435,1993 FEB,3.4
436,1993 MAR,3.5
437,1993 APR,2.9
438,1993 MAY,2.8
439,1993 JUN,2.8
440,1993 JUL,2.9
441,1993 AUG,3.1
442,1993 SEP,3.3
443,1993 OCT,2.8
444,1993 NOV,2.5
445,1993 DEC,2.7
446,1994 JAN,2.8
447,1994 FEB,2.8
448,1994 MAR,2.4
449,1994 APR,2.3
450,1994 MAY,2.5
451,1994 JUN,2.4
452,1994 JUL,2.2
453,1994 AUG,2.3
454,1994 SEP,2.0
455,1994 OCT,2.0
456,1994 NOV,2.3
457,1994 DEC,2.5
458,1995 JAN,2.8
459,1995 FEB,2.7
460,1995 MAR,2.8
461,1995 APR,2.6
462,1995 MAY,2.7
463,1995 JUN,2.8
464,1995 JUL,2.8
465,1995 AUG,2.9
466,1995 SEP,3.1
467,1995 OCT,2.9
468,1995 NOV,2.9
469,1995 DEC,3.0
470,1996 JAN,2.8
471,1996 FEB,2.9
472,1996 MAR,2.9
473,1996 APR,2.9
474,1996 MAY,2.8
475,1996 JUN,2.8
476,1996 JUL,2.8
477,1996 AUG,2.8
478,1996 SEP,2.9
479,1996 OCT,3.3
480,1996 NOV,3.3
481,1996 DEC,3.1
482,1997 JAN,3.1
483,1997 FEB,2.9
484,1997 MAR,2.7
485,1997 APR,2.5
486,1997 MAY,2.5
487,1997 JUN,2.7
488,1997 JUL,3.0
489,1997 AUG,2.8
490,1997 SEP,2.7
491,1997 OCT,2.8
492,1997 NOV,2.8
493,1997 DEC,2.7
494,1998 JAN,2.5
495,1998 FEB,2.6
496,1998 MAR,2.6
497,1998 APR,3.0
498,1998 MAY,3.2
499,1998 JUN,2.8
500,1998 JUL,2.6
501,1998 AUG,2.5
502,1998 SEP,2.5
503,1998 OCT,2.5
504,1998 NOV,2.5
505,1998 DEC,2.6
506,1999 JAN,2.6
507,1999 FEB,2.4
508,1999 MAR,2.7
509,1999 APR,2.4
510,1999 MAY,2.1
511,1999 JUN,2.2
512,1999 JUL,2.2
513,1999 AUG,2.1
514,1999 SEP,2.1
515,1999 OCT,2.2
516,1999 NOV,2.2
517,1999 DEC,2.2
518,2000 JAN,2.1
519,2000 FEB,2.2
520,2000 MAR,2.0
521,2000 APR,1.9
522,2000 MAY,2.0
523,2000 JUN,2.2
524,2000 JUL,2.2
525,2000 AUG,1.9
526,2000 SEP,2.2
527,2000 OCT,2.0
528,2000 NOV,2.2
529,2000 DEC,2.0
530,2001 JAN,1.8
531,2001 FEB,1.9
532,2001 MAR,1.9
533,2001 APR,2.0
534,2001 MAY,2.4
535,2001 JUN,2.4
536,2001 JUL,2.2
537,2001 AUG,2.6
538,2001 SEP,2.3
539,2001 OCT,2.3
540,2001 NOV,1.8
541,2001 DEC,1.9
542,2002 JAN,2.6
543,2002 FEB,2.2
544,2002 MAR,2.3
545,2002 APR,2.3
546,2002 MAY,1.8
547,2002 JUN,1.5
548,2002 JUL,2.0
549,2002 AUG,1.9
550,2002 SEP,2.1
551,2002 OCT,2.3
552,2002 NOV,2.8
553,2002 DEC,2.7
554,2003 JAN,2.7
555,2003 FEB,3.0
556,2003 MAR,3.0
557,2003 APR,3.0
558,2003 MAY,2.9
559,2003 JUN,2.8
560,2003 JUL,2.9
561,2003 AUG,2.9
562,2003 SEP,2.8
563,2003 OCT,2.7
564,2003 NOV,2.5
565,2003 DEC,2.6
566,2004 JAN,2.4
567,2004 FEB,2.3
568,2004 MAR,2.1
569,2004 APR,2.0
570,2004 MAY,2.3
571,2004 JUN,2.3
572,2004 JUL,2.2
573,2004 AUG,2.2
574,2004 SEP,1.9
575,2004 OCT,2.1
576,2004 NOV,2.2
577,2004 DEC,2.5
578,2005 JAN,2.1
579,2005 FEB,2.1
580,2005 MAR,2.4
581,2005 APR,2.3
582,2005 MAY,2.1
583,2005 JUN,2.2
584,2005 JUL,2.4
585,2005 AUG,2.3
586,2005 SEP,2.5
587,2005 OCT,2.4
588,2005 NOV,2.3
589,2005 DEC,2.0
590,2006 JAN,2.3
591,2006 FEB,2.3
592,2006 MAR,2.1
593,2006 APR,2.4
594,2006 MAY,2.9
595,2006 JUN,3.1
596,2006 JUL,3.1
597,2006 AUG,3.3
598,2006 SEP,3.2
599,2006 OCT,3.2
600,2006 NOV,3.4
601,2006 DEC,3.8
602,2007 JAN,3.5
603,2007 FEB,3.7
604,2007 MAR,3.9
605,2007 APR,3.6
606,2007 MAY,3.3
607,2007 JUN,3.3
608,2007 JUL,2.7
609,2007 AUG,2.7
610,2007 SEP,2.8
611,2007 OCT,3.1
612,2007 NOV,3.2
613,2007 DEC,3.1
614,2008 JAN,3.4
615,2008 FEB,3.7
616,2008 MAR,3.5
617,2008 APR,4.0
618,2008 MAY,4.4
619,2008 JUN,4.8
620,2008 JUL,5.3
621,2008 AUG,5.2
622,2008 SEP,5.5
623,2008 OCT,4.7
624,2008 NOV,3.9
625,2008 DEC,2.8
626,2009 JAN,2.4
627,2009 FEB,2.5
628,2009 MAR,2.2
629,2009 APR,1.7
630,2009 MAY,1.6
631,2009 JUN,1.0
632,2009 JUL,1.2
633,2009 AUG,1.4
634,2009 SEP,1.3
635,2009 OCT,1.9
636,2009 NOV,2.7
637,2009 DEC,3.8
638,2010 JAN,4.6
639,2010 FEB,4.2
640,2010 MAR,4.8
641,2010 APR,5.4
642,2010 MAY,5.1
643,2010 JUN,5.0
644,2010 JUL,4.8
645,2010 AUG,4.7
646,2010 SEP,4.6
647,2010 OCT,4.6
648,2010 NOV,4.7
649,2010 DEC,4.7
650,2011 JAN,5.1
651,2011 FEB,5.5
652,2011 MAR,5.4
653,2011 APR,5.3
654,2011 MAY,5.3
655,2011 JUN,5.0
656,2011 JUL,5.0
657,2011 AUG,5.3
658,2011 SEP,5.7
659,2011 OCT,5.6
660,2011 NOV,5.3
661,2011 DEC,5.0
662,2012 JAN,4.0
663,2012 FEB,3.8
664,2012 MAR,3.7
665,2012 APR,3.5
666,2012 MAY,3.1
667,2012 JUN,2.8
668,2012 JUL,3.2
669,2012 AUG,2.9
670,2012 SEP,2.6
671,2012 OCT,3.1
672,2012 NOV,2.9
673,2012 DEC,3.0
674,2013 JAN,3.3
675,2013 FEB,3.2
676,2013 MAR,3.2
677,2013 APR,2.9
678,2013 MAY,3.1
679,2013 JUN,3.3
680,2013 JUL,3.2
681,2013 AUG,3.3
682,2013 SEP,3.2
683,2013 OCT,2.7
684,2013 NOV,2.7
685,2013 DEC,2.8
686,2014 JAN,2.8
687,2014 FEB,2.7
688,2014 MAR,2.5
689,2014 APR,2.6
690,2014 MAY,2.5
691,2014 JUN,2.7
692,2014 JUL,2.6
693,2014 AUG,2.5
694,2014 SEP,2.3
695,2014 OCT,2.4
696,2014 NOV,2.0
697,2014 DEC,1.7
698,2015 JAN,1.2
699,2015 FEB,1.0
700,2015 MAR,0.9
701,2015 APR,0.9
702,2015 MAY,1.1
703,2015 JUN,1.1
704,2015 JUL,1.1
705,2015 AUG,1.2
706,2015 SEP,0.9
707,2015 OCT,0.8
708,2015 NOV,1.1
709,2015 DEC,1.3
710,2016 JAN,1.4
711,2016 FEB,1.4
712,2016 MAR,1.6
713,2016 APR,1.4
714,2016 MAY,1.5
715,2016 JUN,1.7
716,2016 JUL,1.9
717,2016 AUG,1.9
718,2016 SEP,2.2
719,2016 OCT,2.2
720,2016 NOV,2.5
721,2016 DEC,2.7
722,2017 JAN,2.9
723,2017 FEB,3.5
724,2017 MAR,3.4
725,2017 APR,3.8
726,2017 MAY,3.9
727,2017 JUN,3.8
728,2017 JUL,3.9
729,2017 AUG,4.1
730,2017 SEP,4.1
731,2017 OCT,4.2
732,2017 NOV,4.0
733,2017 DEC,4.2
734,2018 JAN,4.0
735,2018 FEB,3.6
736,2018 MAR,3.4
737,2018 APR,3.4
738,2018 MAY,3.4
739,2018 JUN,3.4
740,2018 JUL,3.3
741,2018 AUG,3.4
742,2018 SEP,3.3
743,2018 OCT,3.2
744,2018 NOV,3.1
745,2018 DEC,2.7
746,2019 JAN,2.5
747,2019 FEB,2.4
748,2019 MAR,2.4
749,2019 APR,3.0
750,2019 MAY,3.0
751,2019 JUN,2.8
752,2019 JUL,2.7
753,2019 AUG,2.6
754,2019 SEP,2.4
755,2019 OCT,2.1
756,2019 NOV,2.3
757,2019 DEC,2.2
758,2020 JAN,2.8
759,2020 FEB,2.5
760,2020 MAR,2.7
761,2020 APR,1.6
762,2020 MAY,1.3
763,2020 JUN,1.3
764,2020 JUL,1.9
765,2020 AUG,0.8
766,2020 SEP,1.4
